source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_ROSKOGO_So_1,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ROSKOGO_So_2,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ROSKOGO_So_3,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ROSKOGO_So_4,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ROSKOGO_So_5,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_ROSKOGO_So_6,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON_ROSKOGO_So_7,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON_ROSKOGO_So_8,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON_ROSKOGO_So_9,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON_ROSKOGO_So_10,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
